id,NPMI
data/models/mallet/32,0.0812430574996277
data/models/mallet/20,0.13231804087389915
data/models/mallet/40,0.18202612118288444
data/models/mallet/34,0.1451801995399973
data/models/mallet/8,0.1750457336031077
data/models/mallet/47,0.11285841127001532
data/models/ctm/34,0.11124026928284894
data/models/ctm/42,0.17148424562737716
data/models/ctm/44,0.12070514540373409
data/models/ctm/30,0.0891606641339852
data/models/ctm/24,0.21075064507826524
data/models/ctm/15,0.1441456019914097
data/models/labeled/category-45/27,0.13930639889676935
data/models/labeled/category-45/2,0.1401385369106749
data/models/labeled/category-45/34,0.27918682107777953
data/models/labeled/category-45/6,0.2117001454717285
data/models/labeled/category-45/25,0.17018914610431615
data/models/labeled/category-45/24,0.14483508379370502
